text,true_label,predicted_label_svm,predicted_label_bert,predicted_label_roberta
Usher is putting in WORK. You can see him dripping. #ThankYouObama,neutral,negative,positive,positive
"Image of a man cries his wife, who died along with her three children in suspected #Russian shelling on Al Ferdous…",neutral,negative,negative,negative
Overview of MXNet the Deep Learning framework that Amazon has announced support for this week…,neutral,positive,positive,positive
By missing #NationalFastFoodDay yesterday I celebrated eating @user twice today #goals #noshame,neutral,positive,positive,positive
#Beauty #ArianaGrande-CHRISTMAS & CHILL-JAPAN ONLY #CD BONUS TRACK C94 #Deals #TopSeller,positive,neutral,neutral,neutral
"Ivanka Will Move Into WhiteHouse To Fill Melania’s Vacancy. ""She just rolls up her sleeves or drops to her knees...""",negative,neutral,neutral,neutral
Keep what you stole. Is this Poroshenko's unofficial policy?,negative,neutral,neutral,neutral
Bioethicist Dr. Margaret Somerville makes a blunt #prolife prediction about state-sanctioned #euthanasia. And she's…,negative,neutral,neutral,neutral
@user Do you think the Almighty let Leonard Cohen and Florence Henderson make the third pick?,negative,neutral,neutral,neutral
Some transition thoughts: Trump's NASA looks good for human space exploration and terrible for Earth science @user,positive,neutral,neutral,neutral
"melania gave an amazing speech at the rnc, too bad it wasn't hers! #michelleobamaftw (Vine by @user",neutral,negative,positive,positive
@user @user DAY-O! DA-DA-DAY-EEE-OOO! Liberals are Commies & Like Fidel-They Need To Go-o!!!,negative,positive,neutral,neutral
@user @user That's the Galaxy Note 7. We don't speak of it.,negative,positive,positive,positive
[Tom Tango] Cy Young voting point system is 7-4-3-2-1: can we do better?,negative,neutral,positive,neutral
CONGRATULATIONS SINGLE PARENTS! #Trump says MORE TAXES for YOU! #MAGA! #MakeAmericaGreatAgain #WorkingParents…,neutral,positive,positive,positive
"The 3 #NBAwards winner are all POC, but according to @user authors are only white men - w/a white woman thrown in for diversity.",negative,neutral,neutral,neutral
"Best censured name yet for a national leader. Kim Fatty the Third, or just Kim Fat Fat Fat",negative,neutral,positive,positive
I did not say FBI Comey is a traitor working for Russia. This was said by another. I do not believe this.,neutral,negative,negative,negative
@user @user but the conservatives and labour will keep it strong 😂😂😂😟 ?? they haven't done much of a job In my life time,negative,neutral,neutral,neutral
@user @user perfect365 app does live makeup pics ☺ shiseido still animal testing 😐,negative,positive,neutral,neutral
Interesting article on vaccines and how they can trigger autoimmune diseases,neutral,positive,positive,positive
"Tell it, Sistah! #ElizabethWarren #TrumpTransitionTeam #DrainTheSwamp",positive,negative,neutral,neutral
The latest The Croatia Travel Daily! Thanks to @user @user @user #travel #travelboldly,neutral,positive,positive,positive
Children wounded in the #MosulOffensive receive life-saving treatment in Kurdistan Region’s Erbil city.,positive,neutral,neutral,neutral
"@user good, keep them away from the deplorables. Thank you President Obama for 8 years of peace. #trumplandia #dumptrump",neutral,positive,positive,positive
#ScreamQueens Cassidy & Ingrid team up. | ... via @user @user,positive,neutral,neutral,neutral
Fractures Set Better and Healed Faster with Homeopathy - Homeopathy Plus,neutral,positive,positive,positive
"@user Screw Romney, try this guy for Sec. Of State @user #TrumpTransitionTeam",neutral,negative,negative,negative
@user Good Luck!#Democracy is an illusion!#Iraq#Palestine#Hamas#Egypt#MuslimBrotherhood#Trump#Pensionand so on...,negative,positive,positive,neutral
Need a man who looks at me like this guy looks at Kim Jong-un 😩😍,positive,negative,neutral,neutral
funny writerhttp,neutral,positive,positive,positive
Trump has stock in DAPLWho's surprised?http,negative,neutral,neutral,neutral
"A tribute by Pakistani labour activists to the significance of the Cuban Revolution, and Fidel Castro.",positive,neutral,neutral,neutral
An anti-immigration adviser to Trump says he may start construction of a wall on the Mexican border without a congressional approval.,negative,neutral,neutral,neutral
"OmTime magazine named Mahatma Gandhi Person of the year in 1930,Pope Francis in 2013,.A Person who has done good o…",neutral,positive,positive,positive
"In China, #Obama and Kim Jong Un Are Actors and Best Friendshttp",negative,positive,positive,positive
"What more can I give? Michael Jackson, Celine Dion, Julio Iglesias, Ricky Martin, Mariah Carey, Shakira......",neutral,positive,positive,positive
"Now you will have company Che Guevara, Chavez & others...We wish the same for Maduro & North korea leader to end th…",negative,neutral,neutral,neutral
"SERCO Smuggle Drugs/Weapons/Children?Connects w/Julian, HRC, Obama, COMEY #PizzaGate #wheresjulian #Proofoflife…",negative,neutral,neutral,neutral
"Marine Le Pen, Fr. National Front, welcomed Italian referendum result, congratulating “our friend” Salvini who shares her Eurosceptic stance",neutral,positive,positive,positive
The Chicago Alliance Against Racism is protesting. #Deplorables,neutral,negative,negative,negative
#Spurs #GoSpursGo 1997-98 #Topps ROOKIE of TIM DUNCAN #115 San Antonio Spurs RC HOF #TimDuncan #NBA,positive,neutral,neutral,neutral
#Uber should try to solve their glitches with #BRTA restrictions and try ASAP for Uber availability in #Dhaka.,negative,neutral,neutral,neutral
@user Electric Vehicles must be promoted to Curb pollution in the country & support for fossil fuels vehicles must be stopped..,negative,neutral,neutral,neutral
How Netanyahu Divides and Occupies America via @user #gaza #palestine #israel #BDS,negative,neutral,neutral,neutral
@user @user Can I be Chanel #11 instead?😭💓#ScreamQueens,neutral,negative,positive,positive
@user glad I read to the end to see Grayson Allen shit on,negative,positive,positive,neutral
Grateful for these bad hombres,neutral,positive,positive,negative
"Countdown to ""The Last Waltz"" anniversary, top performance No. 2: I Shall be Released, featuring Bob Dylan.",neutral,positive,positive,positive
"When the pilot says ""if you have a Samsung galaxy note 7, get off the plane"" #lol #flying #samsung #faa #tsa #dot",negative,neutral,positive,neutral
Outed As Russian Spieshttp,negative,neutral,neutral,neutral
Unreal.. Everyone who tries Google Earth VR wants to go to their house first... You can see whole rest of the world! @user,neutral,positive,positive,positive
"In their ruthless flight from liberalism, Tories have left morality behind | Zoe Williams",neutral,negative,negative,negative
"GRASSROOTS FUROR OVER#ROMNEY ""ACKNOWLEDGED.""DAMN RIGHT! GO PATRAEUS:http",positive,negative,neutral,negative
"2014 (Edzard Ernst) Edzard Ernst, hero of ""West Wing"", derided by Conservatives, has a duty to try to protect their habitat. In effect, they",positive,neutral,neutral,neutral
#RejectedDecorations - Chestnuts roasting over a Galaxy Note 7@user @user,negative,positive,neutral,neutral
"Classic 3rd world dictator move, surround yourself with unquailfied loyalist that will be yes men to an...",negative,positive,positive,neutral
@user allows #National Council to fine channels for calls for #revolution,negative,neutral,neutral,neutral
@user I understand some GP's also practise Homeopathy are they QUACKS?,negative,neutral,neutral,neutral
@user @user the deplorables hate CNN.,neutral,negative,negative,negative
I'm sending the folks who gave a Nobel prize for literature to Bob Dylan a cassette copy of The Great Adventures of Slick Rick.,neutral,positive,positive,positive
@user If all alt-rightists looked this good Trump would have won the popular vote,negative,positive,positive,neutral
@user I have problems w/my muscles wen I take antidepressants n would like to be able to use medical marijuana for it.,neutral,negative,negative,negative
The latest MainelyOnline! Thanks to @user @user @user #p2 #uniteblue,neutral,positive,positive,positive
"This holiday season's hot toy are #Hatchimals, but they'll be tough to find on #BlackFriday.",neutral,positive,positive,positive
".@user — yes, Microsoft — joins the #Linux Foundation. #TechNews",neutral,positive,positive,positive
"Couldn't disagree more! Democrat dream team - #Pelosi, #Schumer, #Ellison. Oh please, oh please, oh please.http",neutral,negative,positive,positive
@user @user @user Stop #WhiteGenocide Now!,neutral,negative,negative,negative
4 Stages of Acceptance:1. Election Denial2. Protest3. Recount4. All aboard Trump Train #UsefulNewVerbs,negative,neutral,neutral,neutral
@user your like a fish ( flip flip) now your starting to smell #draintheswamp,negative,neutral,neutral,neutral
"@user @user wonder how many whites (all supremacists, of course) work at NY Times?",negative,neutral,neutral,neutral
@user Ben Ferguson is BSing you. I don't think he even knows abt Rightists in Europe and Putin paying them to destabilize their nations!,neutral,negative,negative,negative
"Castro now joins Bowie, Prince, Leonard Cohen and the mum from the Brady Bunch in the communist afterlife ✊",positive,neutral,neutral,neutral
"but also human/robotsRobots just make everything cuter, oh gosh",neutral,positive,positive,positive
"iRobot did get the self driving cars thing right, though. 😨",neutral,positive,positive,positive
!!! THIS IS The SIDE Of his FACE @user SHOWS To his #DEPLORABLES - 'NOW' !!! /// FLIP-FLOP !!!,negative,neutral,neutral,neutral
You have to watch Michael Moore in Trumpland 2016. I caught it on SHO2.,positive,neutral,neutral,neutral
The world we live...😢 #palestine #arabs #muslims #turkey #saudiarabia #bbc #cnn #aljazeera…,negative,neutral,neutral,neutral
Nostradamus WARNED: Pope Francis Will Abdicate the Papacy via @user,negative,neutral,neutral,neutral
Minimum wage law still not cutting it for garment workers: @user report | #Myanmar,neutral,negative,negative,negative
"FYI @user @user @user ""DrainTheSwampAlert""! #NeverRomney sums it up for me.…",negative,positive,positive,neutral
"Lord, I know she ain't perfectAnd I know she off the chainBut every time she disappearI'm stuck here like David BlaineHide her tears whe",neutral,negative,negative,negative
.@user @user Did you speak out against pay for play Clinton Foundation scandals? I'm guessing Cruz did bc it actually happened,negative,neutral,neutral,neutral
when the test sample is so cute & fluffy but you have to do cervical dissociation on it... :((#euthanasia,neutral,positive,negative,negative
Run #MELANIATRUMP run! Save yourself,negative,neutral,positive,positive
@user @user Or why other civilised nations have incredibly tight gun control laws?,neutral,negative,negative,negative
@user @user @user The #Kremlintrolls are now reduced to pimping moldy old lies now that JIT nailed RU. #MH17,neutral,negative,negative,negative
Meet the stars of our #MannequinChallenge! It is online now on our FB-page! Let's #orangetheworld and put an end to…,neutral,positive,positive,positive
@user @user Excuse me! Rajni gave India robots ok! 😆😂,neutral,negative,positive,positive
"#TrumpTransitionTeam issues #Statement...Clearly, they never Met #Trump.",neutral,negative,negative,negative
"@user $15 min wage? ""Well actually..."" Tuition-free college? ""Well only for..."" TPP ""Well we have to consider..."" S T O P",negative,positive,neutral,neutral
cc @user Just a note about one troll.,negative,positive,neutral,neutral
interesting how the US will now see Latin America. The ice cream is really good and so is the health system. Get Cuba to run Obamacare.,neutral,positive,positive,positive
Watch Drake and Dave Chappelle Lose It Over a David Blaine Trick,positive,neutral,neutral,neutral
I really can fucking not with ep. 4 #ScreamQueens 😂😂😂😥 this is nuts!!,neutral,negative,negative,negative
@user Wish we can see Persona 5 under the Christmas tree....rip,neutral,positive,positive,positive
Hubby the spoiler. Valentines?,positive,neutral,neutral,neutral
Nasty women and bad hombres celebrating our diversity and committing to action for an empathic and kind community.,positive,negative,neutral,negative
Conservatives Get The Last Laugh At Liberal Jokesters In Denial That These Are Their Best Days & ThingsAre Only G…,negative,neutral,neutral,neutral
USA election rigged against HRCRussian hacking&interferenceVoter suppression Corrupt FBIWikiLeaks lies Gerryma…,neutral,negative,negative,negative
#Rohingya God please save Rohingya #killing in #Myanmar #unitednations,neutral,positive,negative,negative
The talent pool is slim for #Filmmaking in #Hollywood. Too many re-makes #BeautyAndTheBeast and #MaryPoppins,negative,positive,neutral,neutral
"@user I am taking notice,of all Democratic Party elected officials, who r not fighting 4 USA as @user 2 replace 4 fighters",negative,neutral,neutral,neutral
@user If evolution is bullshit then how do we develop vaccines????,neutral,negative,negative,negative
Big Fun's jersey is going up to the rafters,neutral,positive,positive,positive
"@user @user Dec 19th, throw all the bums out. It was rigged. Voter suppression, ballot box tampering & foreign interference & more💙",neutral,negative,negative,negative
So #media nonstop about #Taiwan protocol but nonissue with #cuba embargo lift #ransom #iransanctions lift? @user fascinating!!!,negative,neutral,neutral,neutral
@user @user @user @user Obama expanded Veterans Centers in rural areas & fully funded the Veterans Admin,neutral,positive,positive,positive
Trump’s Wild Ride With the Press as Transition Turmoil Continues,positive,neutral,neutral,neutral
Arroyo: OK with Duterte if I oppose death penalty reimposition | News | GMA News Online via @user,negative,neutral,neutral,neutral
Well sorry Obama and Dems-there's a new Sheriff in town and he won't allow that stupid crap! #TrumpsTheMan,neutral,negative,negative,negative
this picture drawn by muhammad ali is KILLING ME,positive,negative,negative,negative
"Games help #driverless cars ""learn"":",neutral,positive,positive,positive
"YOUNG MAN SEEKS EUTHANASIA FOR MENTAL ILLNESS PAIN. WILL CBD HELP? November 28, 2016, Adam Maier-Clayton posts...",negative,neutral,neutral,neutral
"Medicare, people. Don't mess with the olds. Mobilize them.",positive,negative,neutral,negative
Donald Trump may not be able to get White House security clearance for Steve Bannon via @user,negative,neutral,neutral,neutral
''You didn't really think you were going to get through this without getting punished now did you?'' - Negan…,neutral,negative,negative,negative
Perhaps I'd be going over the line by insinuating a connection between Melania Trump and Vladimir Putin. Cuz I can'…,negative,neutral,neutral,neutral
#stop killing #civilians in #Syria #Russia #unitednations,neutral,negative,negative,negative
@user Her best segment was the bit on immigration near the end. I thought she did fairly poorly throughout the first 24 minutes.,negative,positive,neutral,neutral
"This is what Trump's border wall could cost USA roughly 2,000-mile fence on the Mexican border would cost 100's of billions, with foreign?",negative,neutral,neutral,neutral
@user only if fatty Kim the third finds Twitter,negative,neutral,neutral,neutral
"@user write in: Cy Young and 20 strikeout, 20 game winner: Max Scherzer",positive,neutral,neutral,neutral
"Details of the ""LORD of VERMILION Re:3 x Persona 5"" collab. ""Phantom Campaign"" will be announced on a Nov. 30 live…",positive,neutral,neutral,neutral
"@user don't need to be informed to vote. i will benefit financially. i don't need healthcare, ss or medicare. hope you don't.",negative,neutral,positive,positive
When Beppe Grillo and Marine Le Pen are happy,neutral,positive,positive,positive
@user libby #StillWithHer Hi Congrats your picked Go to our site in description,neutral,positive,positive,positive
4 great Black Friday deals on slightly used NFL quarterbacks,neutral,negative,positive,positive
@user ye ursa went and got married to her former lover before ozai went *melania trump voice* hello,negative,neutral,neutral,neutral
@user I keep just missing out on one these every time @user posts a link 😞#win #Hatchimals,neutral,negative,positive,negative
"How the Electoral College always has protected white power, from slave states to whose vote counts #ElectoralCollege",negative,neutral,neutral,neutral
I bought a guy a Valentines Day gift once and that was really traumatic for me so I try my best to be single on gift giving holidays.,neutral,positive,negative,negative
#Spurs #GoSpursGo 1997 SP Authentic #128 Tim Duncan RC Rookie BGS 9.5 #TimDuncan #NBA,positive,neutral,neutral,neutral
"Message @user maybE a snakey little strut, biblically with stick but can b trusted",positive,neutral,neutral,neutral
"Politically Tone Deaf Pelosi Accepts No Responsibility For Democrats Failure, Fails To See She Is The Problem",neutral,negative,negative,negative
This is a fabulous admission of error#NBAwards .@user,neutral,positive,positive,positive
@user I bought 2 Note 7s; which obviously I had to return; now using LG V20 over my Galaxy 7 plus; when is next Note version?,negative,neutral,positive,positive
Apparently #hot #Christmas gifts are #Pokemon #StarWar & #Hatchimals. Star Wars YES! What the heck is a...,neutral,positive,positive,positive
#NASA #DeepLearning Program Aims to Ward Off #Asteroid Attack via @user #AI #Space,positive,neutral,neutral,neutral
AQ operative & BRSC leader Mohamed Aldresi (Al-Nus) calls on Jihadist from 10 states to join fight against Libyan a…,negative,neutral,neutral,neutral
'A shared language is fundamental to integrated societies' Could not agree more + look forward to funding details,neutral,positive,positive,positive
"@user Do u honestly think Romo is better than Dak as a all around qb? Look at the record, turnovers ratio, n where tony is seated",negative,positive,neutral,neutral
"@user @user Call Dir. Comey also! Ya know, that FBI guy? I hear he can check for dead voters. @user @user",negative,neutral,neutral,neutral
"And so they call him Kim Fatty the Fourth 金四胖 now ,",negative,neutral,neutral,neutral
GEORGE SOROS DID FOR HILLARY WILL MAKE YOU SICKWATCH VIDEO!!,negative,neutral,neutral,positive
"Yes @user - ignore $millions that #RudyGiuliani took from #Qatar, the main sponsor of #Hamas -…",positive,negative,neutral,negative
Spain probe Cristiano Ronaldo after tax evasion reports,negative,neutral,neutral,neutral
"Justin Verlander and Miguel Cabrera are the big names, but trading Ian Kinsler could hurt the #Tigers the most.…",negative,positive,neutral,neutral
Retweeted Oldman (@user):@user @user @user @user @user @user ripping off the dems again,negative,positive,neutral,neutral
@user what gets me is they are critical of Fidel..but are ok with the effect the U.S. embargo on Cuba has has on the Cuban ppl,negative,neutral,neutral,neutral
"@user @user The convention was started to help take back control from obama admin and big gov , GOP will try to take power from trump",negative,neutral,neutral,neutral
"if u haven't been watching WestWorld, u need to!",positive,neutral,neutral,neutral
. @user how are houses going to get built in an only service economy? Prefab 3D printing or discarded shipping containers,negative,neutral,neutral,neutral
#BREAKING: #Israel forces kill suspected Palestinian attacker in #Jerusalem according to police. #Palestine,neutral,negative,negative,negative
"@user @user @user @user @user you voted for a nazi, genius",negative,positive,neutral,neutral
"Obama refuses to condemn anti-Trump riots, violence against Trump supporters",neutral,negative,negative,negative
@user Exactly so when do you and the GOP investigate every single aspect of George Soros? I am waiting for an answer!,negative,neutral,neutral,neutral
'Compromised functionality and dismal reliability': @user pulls the plug on #Tesla's Model X…,neutral,negative,negative,negative
"@user But Katie, Stein was so close to winning! A recount & I think she wins. 😊 Obviously, Dems got to her$$ like they got to Bernie.",neutral,positive,positive,positive
"""May you have a strong foundation when the winds of changes shift."" - Bob Dylan, ""Forever Young""",neutral,positive,positive,positive
#ISIS Social Media Expert who urged US Muslims to behead @user killed by drone.,neutral,negative,negative,negative
Having #carers on zero-hours contracts is not going to help the #caresector #healthcare #socialcare,neutral,negative,negative,negative
tony romo would have made that throw,positive,neutral,neutral,neutral
Yes Drag Melania Trump is here !!!,negative,neutral,positive,positive
Why do I feel like #ISIS IS going to hit as soon as #Trump is sworn in? GET THE #SecurityBriefing #MAGA #draintheswamp F U W Romney,neutral,positive,negative,negative
"@user @user If Jeb had won, he would still be looking at Cabinet. Trump has already selected abt 10 just in 3rd week. Outworks Jeb",negative,neutral,neutral,neutral
"I'm sorry, Jill, but this sounds like noise. #ThankYouObama",negative,neutral,neutral,neutral
@user I LOLed at that one right away.Geographically challenged tweeps.,negative,positive,positive,positive
The World Reacts to Fidel Castro's Death like there were a lot of very sad people there.,neutral,negative,negative,negative
errr.. ricky martin? (with Feby) [pic] —,positive,neutral,neutral,neutral
Listening to Melania practice the speech Michelle Obama wrote for her #KeepsTrumpUpAtNight#2GirlsandaTag@user,negative,neutral,neutral,neutral
"@user @user Also, their campaign team literally admitted to active voter suppression.",neutral,positive,negative,negative
I hope Donald trump builds a wall and says EA MADDEN EMOLOYEES ARE BAD HOMBRES @user,positive,neutral,negative,negative
The latest BETT'S WORLD! Via @user @user #yemencrisis #yemen,positive,neutral,neutral,neutral
@user I'm praying to the RPG gods that XV is good. But persona 5 is the only one I'd put money down on,neutral,positive,positive,positive
Thinking about doing a live feed of Google Earth VR this weekend. Talk about my travels a bit and awesome places to go. Thoughts?,neutral,positive,positive,positive
🎶 Browse this site for more information on Dallas 3D Printing. This...,positive,neutral,neutral,neutral
"""F"" for #usa @user FAKE FED... @user FALSE FLAG = 9/11 lNSlDE J0BFRACKING an ""FRIENDLY FIRE""#JESUS #ENDofDAYS",neutral,negative,negative,negative
"@user Damn straight he is right. But it has to be the ""Pay for Play"" Clinton Crime Foundation. Comey compromised email investig.",neutral,negative,negative,negative
ALL NATIONS UNITE.... HUMAN BEINGS STANDING UP TOGETHER WILL FORCE THE CHANGE FROM FOSSIL FUELS TO CLEAN ENERGY...,negative,positive,positive,positive
"Um...you understand the terminally ill have to consent to euthanasia, right?",negative,neutral,neutral,neutral
Barbara Boxer's Abortion Illogic 1/2 via @user -When a U.S. senator cant tell when a baby is born it's a bad day.,neutral,negative,negative,negative
Messmoorize (from Michael Moore): to panic and lose critical thinking while gaining weight. #UsefulNewVerbs,negative,neutral,neutral,neutral
#University of #California will refuse to assist federal #immigration agents seeking #students without legal status,neutral,negative,negative,negative
"#ISIS claims Iraq car-bombing, at least 73 killed.",neutral,negative,negative,negative
TY @user The latest The painters Daily! Thanks to @user #trumps #deplorables,neutral,positive,positive,positive
@user IMO U r wrong to say Dems dont listen to both sides of issues of parties. They do & just tend 2disagree w more of gop policy,neutral,negative,negative,negative
East Aleppo #FakeNewsMedia Bana Alabed Twitter acct deleted. Her 'mum' tweets/has access to internet 'while being…,neutral,negative,negative,negative
Community-Organizer-in-ChiefDivider-in-Chief#ThankYouObama 55 days16 hours27 minutes…,neutral,positive,positive,positive
"Very interesting (as received)Interesting...Silent and ""Listen"" are spelled with the same letters.Steve Jobs...",neutral,positive,positive,positive
"CAN'T EAT CAN'T SHLEEP MANE I MISS THESE STREETSMUHAMMAD ALI, AND THE SHKREETS MISS ME",neutral,positive,negative,negative
@user my deep learning algorithm isn't though - training can take time.,negative,neutral,neutral,neutral
"If the regular brands won't sell clothes for sizes 10+, cool new brands will - check these out!http",neutral,positive,positive,positive
#BREAKING :Israeli soldiers shot a Palestinian young man near Shuafat camp military checkpoint moments ago.…,neutral,negative,negative,negative
Create articles for #blog #seo #marketing | #NationalFastFoodDay 6 #SEO Analysis Tools…,positive,neutral,neutral,neutral
@user @user ask Ben Carson's campaign pushers :/ #scavengers #prey,negative,neutral,neutral,neutral
📉@user Said to Be Seeking Funds at 40% Lower Value - #india #uber #ola,negative,neutral,neutral,neutral
I Stand With #Syria #Aleppo #Palestine #Kashmir #Burma #Iraq #Afg Do You ??? Share !!!,positive,neutral,neutral,neutral
"#Belarus #humanrights community, including @user , strongly urges authorities to abolish the death penalty…",negative,neutral,neutral,neutral
"After seeing me ugly cry over Leonard Cohen, my husband is genuinely concerned about Werner Herzog's health",positive,negative,neutral,neutral
Dems will be flocking to Cuba to pay their respects. Obama will be the first,neutral,positive,positive,positive
"@user yes, but wouldn't gun control work better?",positive,negative,neutral,neutral
Only nasty women and bad hombres would share this very unflattering picture of our Furhur. Be one of those.,neutral,negative,negative,negative
"Hope you are feeling better @user Since you are running a clinical trial, try the oreganol/oil of oregano!…",neutral,negative,positive,positive
"If Trump is a good man he will leave Medicare, healthcare &amp; SS alone. He will address capitalism and student lo…",negative,positive,neutral,positive
"Working towards accreditation, albeit on half the minimum wage is much better than sitting on your arse bludging of…",neutral,positive,negative,negative
Obama Downplays Trump Trade Agenda O can stick TPP & his 0 legacy #tcot #pjneet #maga #lnyhbt #wakeupamerica #tgdn,negative,neutral,neutral,neutral
Greece: Adult vaccination in an age of austerity,negative,neutral,neutral,neutral
"CPU vs GPU for deep learning. This article has a defensive tone to it, but interesting.",neutral,positive,positive,positive
"HistoryToLearn: Muhammad Ali hugs Pelé at his goodbye match. He said: ""My friend. My friend. Now there are two of …",positive,neutral,neutral,neutral
"Cristiano Ronaldo. Man takes no Ls. Biggest rustler in world football, proves haters wrong every game.",neutral,negative,negative,positive
@user I'm just going out to buy some fuses! I couldn't believe it. Ford is in on this! #Westworld,negative,neutral,positive,positive
The Flint water is also an issue.,neutral,positive,negative,negative
@user #GilmoreGirlsTop4 Top 4 + invisible 51. Jess 😍2. Paris😂3. Luke💜4. Sookie🎈5. Taylor 😅,positive,neutral,neutral,neutral
Fidel Castro's Legacy and the Hypocrisy of His Detractors #Castro,neutral,negative,negative,negative
.@user his research is the gold standard. Whenbi say this looks like a drug deposit based on it. Is no small thing. Iris location 2/3,negative,neutral,neutral,neutral
169 Members of Congress Issue DEMAND That Trump IMMEDIATELY Dismiss Steve Bannon (DETAILS) via @user Report,negative,neutral,neutral,neutral
@user will provide federal funds to have an agency like Blackwater be contracted to hire public school teachrs,positive,neutral,neutral,neutral
"Bannon(http ""It's the greatest opportunity to rebuild everything..as exciting as the 1930s."" O…",neutral,positive,positive,positive
Because Water is our Human Right! Step off our land!,negative,neutral,neutral,positive
#Valentines #Gifts NEW Ted 2 in Jersey 24-Inch R-Rated Talking Plush #TeddyBear SALE,positive,neutral,neutral,neutral
Arabs Celebrate as Israel Burnshttp sips latte#P2 #tcot #sgp #mtv #uniteblue #jcot #teaparty #progressive,neutral,positive,positive,positive
2. Yes ..crime can never be justified but if you are going to give death penalty to kidnappers why not corrupt politicians/looters?,neutral,negative,negative,negative
"From a dead stop, Tesla estimates that the Model S P100D can accelerate to 60 mph in 2.5 seconds. http",neutral,positive,positive,positive
Death penalty too strong? Think of the gene pool!http,neutral,negative,negative,negative
@user Christmas is by far the biggest holiday here in the USA. Thanksgiving is def. behind Halloween and prob Valentines and St Patrick's,neutral,positive,positive,positive
"As Trump's busy assembling his cabinet, HRC & Stein are hoping against all odds on a #recount in 3 states. Good luck w/ that. #RECOUNT2016",neutral,positive,positive,positive
CHANEL#me #chanel #i #screamqueens,neutral,positive,positive,positive
where can i get me a ricky martin,positive,neutral,neutral,neutral
Helping Melania work on her next Michelle Obama speech. #KeepsTrumpUpAtNight,negative,neutral,positive,neutral
@user Comey CROOKED as HRC,negative,neutral,neutral,neutral
@user Time for Seal Team 6 to pay George Soros a visit. 💩🔫,negative,neutral,neutral,neutral
📷 Playing robots in the Himalayas,positive,negative,neutral,neutral
GIVING THANKS for Dr. Ben Carson: Our Favorite Trump Supporter Changes Mind and WILL Serve in Cabinet Position....,neutral,positive,positive,positive
"Earlier: a #ThisIsUs Thanksgiving reminds us that all families are crazy in their own ways, says @user",neutral,positive,positive,positive
Samsung Galaxy Note 7 vs OnePlus 3 vs Galaxy S7 vs iPhone 6S Speed Test! . #AJNancy,neutral,positive,positive,positive
did melania ever apologize for stealing michelle's speech?,negative,neutral,neutral,neutral
Deep Learning for Visual Question Answering (VAQ) using KerasA really nice blog post by @user,neutral,positive,positive,positive
@user please look into why old people at Serenola Pines take drug money to supplement their social security money,negative,neutral,neutral,neutral
Yet those that screamed the Clinton Foundation had to be wound down are suddenly just fine with this and huge Int'l…,negative,positive,neutral,neutral
@user Because in places where your vote is tracked you get a visit the next day from Kim Jong-Un.,negative,neutral,neutral,neutral
"#GAMES: PlayStation VR: Top 10 Games, Google Earth VR verf&uuml;gbar &amp;... #playstation #sony",positive,neutral,neutral,neutral
Don't cry now mom #ThisIsUs,neutral,negative,positive,positive
This #blackfriday #CyberMonday everything 20% off! #TheWalkingDead #homealone & more #giftsforhim #giftsforgeeks…,neutral,positive,positive,positive
#Palestinian suicide bombings no longer permitted: #Qaradawi proclaims earlier fatwa now retracted. #Israel #Hamas,neutral,negative,negative,negative
#ThankYouObama for creating the strongest @user in almost a century and electing @user,negative,positive,positive,positive
@user It was devastating to see the way he looked at his mother. 😓 And all the traditions they've kept to remember Jack...😩 #ThisIsUs,neutral,negative,negative,negative
"US chicken, flour sold in #DRCongo via blacklisted Tajideen. Great piece in WSJ @user @user #Hezbollah",neutral,positive,positive,positive
Happy Birthday! Can't wait on Dancing with thousands of Jesus? Oh god. I get things to gay marriage? a spectacular,neutral,positive,positive,positive
Watching old episodes of The West Wing & realize Martin Sheen has more experience to run the US than our president-elect.#StillWithHer,negative,neutral,neutral,neutral
"The Nazi Democrats want Donald Trump to become distracted and engage in an ""emotional"" propaganda war thats unwinnable-But Trump is smarter",neutral,negative,negative,negative
Supermodel @user is proving she's in the business of making history and shattering barriers:…,neutral,positive,positive,positive
#Best #Toy #Transformers Robots In Disguise One-Step Changers Autobot Drift #Figure #Toys…,neutral,positive,positive,positive
Report: The rickety finances behind the Dakota Access Pipeline. #NoDAPL @user @user @user,negative,neutral,neutral,neutral
Kim Fatty the Third. 🇨🇳 🇰🇵,negative,neutral,neutral,neutral
Google is joining the .NET Foundation and will be part of the Steering Group.,neutral,positive,positive,positive
@user I guess you need a reading lesson Charlie,negative,neutral,neutral,neutral
Pretty much convinced that David Blaine isn't human.,positive,neutral,neutral,negative
Michael Moore is speaking much truth. This should have come out before the election. Remember when she hyphenated her name & folks flipped?,positive,neutral,neutral,neutral
I'm for overturning the electoral college or faithless electoral college electors; anything that will avert this planet destroying calamity.,negative,positive,neutral,neutral
"The courts will come to the rescue?The courts are the ones enforcing these laws,they are trying to bring back Jim C…",negative,neutral,neutral,neutral
"As an emoji user, I am thrilled there is a ""heil"" emoji! 🙋 lol #nazi",neutral,positive,positive,positive
@user more establishment politicians. #draintheswamp ? LOLno u all got conned and we're just laughing at you guys,neutral,positive,negative,negative
It is time to claim the election was rigged.,neutral,negative,negative,negative
"@user if michele obama was attacked and melania praised for same speech, same thing",negative,neutral,neutral,neutral
@user True. But there's a question that still needs to be answered: What if autism causes vaccines?,negative,neutral,neutral,neutral
